"Id
===
Id
===
int-cs","过滤关键字
===
StrFilter
===
string-cs","过滤通道
===
Type
===
int-cs","过滤规则
===
Rule
===
int-cs"
10441,李大钊,15,1
10442,陈独秀,15,1
10443,孙中山,15,1
10444,孙逸仙,15,1
10445,Bitch,15,1
10446,bt,15,1
10447,cao,15,1
10448,FUCK,15,1
10449,kao,15,1
10450,NMD,15,1
10451,ri,15,1
10452,Suck,15,1
10453,K他命,15,1
10454,白痴,15,1
10455,笨蛋,15,1
10456,屄,15,1
10457,逼,15,1
10458,婊子,15,1
10459,操她妈,15,1
10460,操妳妈,15,1
10461,操你,15,1
10462,操他妈,15,1
10463,草你,15,1
10464,肏,15,1
10465,册那,15,1
10466,侧那,15,1
10467,测拿,15,1
10468,插,15,1
10469,蠢猪,15,1
10470,发骚,15,1
10471,废物,15,1
10472,干她妈,15,1
10473,干妳,15,1
10474,干妳娘,15,1
10475,干你妈,15,1
10476,干你妈B,15,1
10477,干你妈b,15,1
10478,干你妈逼,15,1
10479,干你娘,15,1
10480,干他妈,15,1
10481,狗娘养的,15,1
10482,贱货,15,1
10483,烂人,15,1
10484,老母,15,1
10485,老土,15,1
10486,妈比,15,1
10487,妈的,15,1
10488,马的,15,1
10489,妳老母的,15,1
10490,妳娘的,15,1
10491,你妈逼,15,1
10492,破鞋,15,1
10493,仆街,15,1
10494,去她妈,15,1
10495,去妳的,15,1
10496,去妳妈,15,1
10497,去你的,15,1
10498,去你妈,15,1
10499,去死,15,1
10500,去他妈,15,1
10501,日你,15,1
10502,赛她娘,15,1
10503,赛妳娘,15,1
10504,赛你娘,15,1
10505,赛他娘,15,1
10506,骚货,15,1
10507,傻B,15,1
10508,傻比,15,1
10509,傻子,15,1
10510,上妳,15,1
10511,上你,15,1
10512,神经病,15,1
10513,屎,15,1
10514,屎你娘,15,1
10515,屎妳娘,15,1
10516,他妈的,15,1
10517,王八蛋,15,1
10518,我操,15,1
10519,我日,15,1
10520,乡巴佬,15,1
10521,猪猡,15,1
10522,屙,15,1
10523,尿,15,1
10524,掯,15,1
10525,屌,15,1
10526,骑你,15,1
10527,湿了,15,1
10528,操你,15,1
10529,操他,15,1
10530,操她,15,1
10531,骑你,15,1
10532,骑他,15,1
10533,骑她,15,1
10534,欠骑,15,1
10535,欠人骑,15,1
10536,来爽我,15,1
10537,来插我,15,1
10538,干他,15,1
10539,干她,15,1
10540,干死,15,1
10541,干爆,15,1
10542,干机,15,1
10543,FUCK,15,1
10544,机叭,15,1
10545,臭鸡,15,1
10546,臭机,15,1
10547,览叫,15,1
10548,阳具,15,1
10549,肉壶,15,1
10550,摸咪咪,15,1
10551,SUCK PENIS,15,1
10552,BITCH,15,1
10553,BLOW JOB,15,1
10554,KISS MY ASS,15,1
10555,干鸡,15,1
10556,干入,15,1
10557,强奸,15,1
10558,插你,15,1
10559,爽你,15,1
10560,干干,15,1
10561,干X,15,1
10562,他干,15,1
10563,干它,15,1
10564,干牠,15,1
10565,干您,15,1
10566,干汝,15,1
10567,干林,15,1
10568,操林,15,1
10569,干尼,15,1
10570,操尼,15,1
10571,我咧干,15,1
10572,干勒,15,1
10573,干我,15,1
10574,干啦,15,1
10575,干爽,15,1
10576,欠干,15,1
10577,我干,15,1
10578,来干,15,1
10579,轮干,15,1
10580,干一干,15,1
10581,轮流干,15,1
10582,援交,15,1
10583,骑你,15,1
10584,我操,15,1
10585,奸暴,15,1
10586,再奸,15,1
10587,我奸,15,1
10588,奸你,15,1
10589,奸他,15,1
10590,奸她,15,1
10591,奸一奸,15,1
10592,淫湿,15,1
10593,鸡歪,15,1
10594,仆街,15,1
10595,臭西,15,1
10596,尻,15,1
10597,吊,15,1
10598,遗精,15,1
10599,烂逼,15,1
10600,大血比,15,1
10601,叼你妈,15,1
10602,靠你妈,15,1
10603,草你,15,1
10604,日你,15,1
10605,插你,15,1
10606,奸你,15,1
10607,戳你,15,1
10608,逼你老母,15,1
10609,挨球,15,1
10610,我日你,15,1
10611,草拟妈,15,1
10612,卖逼,15,1
10613,狗操卖逼,15,1
10614,日死,15,1
10615,奶娘,15,1
10616,他娘,15,1
10617,她娘,15,1
10618,你妈了妹,15,1
10619,插你妈,15,1
10620,叼你,15,1
10621,渣波波,15,1
10622,嫩b,15,1
10623,陈云,15,1
10624,李瑞环,15,1
10625,尉健行,15,1
10626,李岚清,15,1
10627,罗干,15,1
10628,吴邦国,15,1
10629,曾庆红,15,1
10630,贾庆林,15,1
10631,黄菊,15,1
10632,吴官正,15,1
10633,回良玉,15,1
10634,吴仪,15,1
10635,李长春,15,1
10636,曾培炎,15,1
10637,周永康,15,1
10638,曹刚川,15,1
10639,唐家璇,15,1
10640,华建敏,15,1
10641,陈至立,15,1
10642,陈良宇,15,1
10643,张德江,15,1
10644,张立昌,15,1
10645,俞正声,15,1
10646,王乐泉,15,1
10647,刘云山,15,1
